ID,Motorway,SR,NR,TR,VR,SUR1,SUR2,SUR3,UR,FR,OR,RR,BR,MR,CR
98,S52,27369.21034,3,1,2,10,6,1,3,3,100,2,0,0,1
99,S52,-173559.754,1,1,3,,2,10,0,0,100,1,2,?,1
100,S52,-180253.1,1,7,1,1,10,6,0,0,100,2,5,0,1
101,S52,80867.99396,2,?,1,,6,2,,4,100,2,2,0,1
102,S52,479.4585334,1,15,1,2,7,2,0,0,100,1,1,0,1
103,S52,500955.1734,9,1,3,,6,2,3,3,75,,1,0,1
104,S52,47665.35628,10,1,4,2,10,6,0,0,100,2,2,0,1
105,S52,8198.933985,1,1,2,,10,6,3,2,100,0,2,0,1
106,S52,302.590201,-3.890969797,1,1,6,10,10,,?,25,1,1,?,1
107,S52,988.0795449,1,15,0,,10,6,0,0,100,0,1,0,1
108,S52,-863.1143522,1,1,1,6,10,10,0,0,50,0,0,0,1
109,S52,-2568.296384,1,1,2,,10,6,0,0,100,,5,0,1
110,S52,8109.608197,2,1,2,1,10,6,3,3,100,2,2,?,
111,S52,1531.224012,-3.890969797,?,0,,1,6,,2,100,1,2,?,1
112,S52,-349.1488395,2,1,1,1,10,6,0,1,100,0,1,0,1
113,S52,1436.956816,-8.781939594,1,3,,1,6,0,0,75,0,1,0,1
114,S52,-179411.458,1,1,1,1,10,6,3,2,100,2,2,0,1
115,S52,844.274639,1,15,1,,1,6,0,0,89.45454545,,1,0,1
116,S52,1442.570996,1,15,1,10,1,6,,0,100,1,1,0,1
117,S52,1635.030573,-3.890969797,15,1,,10,6,1,0,100,1,1,0,1
118,S52,4479.749851,1,1,3,2,10,6,0,1,100,5,5,0,1
119,S52,261.6624079,-3.890969797,1,1,,10,10,3,3,158.6802405,5,2,0,1
120,S52,1724.251018,1,15,1,1,10,6,0,0,158.6802405,5,5,0,
121,S52,594.6661323,1,?,2,,6,1,,?,100,,1,0,1
122,S52,-2568.296384,1,1,0,10,6,7,3,2,100,1,1,0,1
123,S52,2348.930872,1,14,1,,6,2,0,0,100,1,1,0,1
124,S52,-866.2090023,1,12,2,10,10,2,0,0,50,2,5,0,1
125,S52,12.64671402,1,15,1,,10,6,0,0,100,0,2,?,1
126,S52,-181189.5514,1,15,1,1,7,6,,0,100,1,1,0,1
127,S52,197.6548668,1,1,1,,10,1,0,0,100,,1,0,1
128,S52,-23.45674858,1,1,2,10,1,6,0,0,100,1,1,?,1
129,S52,263.4830493,1,15,1,,1,1,0,0,100,5,5,0,1
130,S52,1452.580418,1,12,1,1,1,10,0,0,100,2,9,0,
131,S52,119.6009762,-3.890969797,?,1,,7,10,,0,100,9,9,0,1
132,S52,440.7526628,1,15,1,1,7,1,0,0,100,2,5,0,1
133,S52,-2568.296384,3,1,0,,1,5,0,0,100,,1,0,1
134,S52,3232.69946,2,2,0,6,7,10,0,0,89.45454545,1,1,?,1
135,S52,1729.830839,6.890969797,1,0,,6,10,3,4,16.31975946,1,1,0,1
136,S52,115998.5179,5,1,0,10,2,6,,?,100,0,1,0,1
137,S52,39398.34707,4,1,1,,7,6,3,4,100,1,1,0,
138,S52,607.0222949,1,1,0,6,9,2,3,3,50,0,0,0,1
139,S52,2233.916971,1,1,0,,6,6,3,0,-33.68024054,,0,0,1
140,S52,5757.662222,2,1,0,1,10,6,3,4,100,2,1,0,1
141,S52,358409.8724,16.8909698,?,1,,1,7,,4,100,1,1,0,1
142,S52,3960.076343,5,1,1,1,10,2,3,3,100,0,1,0,1
143,S52,1441.495449,-3.890969797,1,1,,6,10,1,3,100,0,0,?,1
144,S52,2326.159498,3,1,1,2,1,10,3,3,100,2,2,0,1
145,S52,-2568.296384,1,1,3,,1,6,0,0,100,,1,0,1
146,S52,14792.57098,2,1,2,2,1,10,,3,100,0,1,0,
147,S52,2438.362089,1,1,3,,6,2,0,0,25,0,0,0,1
148,S52,1724.443174,2,1,3,2,6,10,0,0,75,0,0,?,1
149,S52,3262.755641,1,1,2,,10,1,0,1,100,1,1,0,1
150,S52,-179112.4782,1,12,3,2,10,1,0,0,100,1,1,0,1
151,S52,2410.284919,2,?,2,,2,6,,?,50,,1,0,1
152,S52,889.0984873,1,1,4,9,2,10,0,0,50,0,0,0,1
153,S52,1022.197306,1,1,3,,2,6,0,0,89.45454545,0,0,0,1
154,S52,26092.38709,3,1,1,1,2,10,3,4,100,1,2,0,1
155,S52,-1227.353217,1,1,0,,1,10,3,3,100,1,1,0,
156,S52,-361500.2032,1,1,3,2,6,5,,0,50,1,1,1,2
157,S52,-2568.296384,1,1,2,,1,6,0,0,100,,1,0,1
158,S52,-859.8702076,1,15,1,1,1,6,0,0,100,1,1,2,1
159,S52,1634.524407,1,5,2,,6,10,3,2,158.6802405,2,2,0,1
160,S52,466.451846,1,12,3,1,2,10,0,0,100,1,2,0,1
161,S52,1935.966623,1,?,1,,2,10,,0,100,5,5,?,1
162,S52,1670.428805,1,1,3,2,10,1,0,0,100,5,2,0,1
163,S52,-81.60650627,-3.890969797,15,1,,1,10,0,0,100,,5,0,1
164,S52,2980.680681,1,1,1,2,6,10,3,3,50,1,0,0,1
165,S52,1547.38772,1,1,2,,10,6,0,0,50,0,0,0,1
166,S52,1834.707811,1,14,1,2,7,10,,?,217.3604811,2,0,?,1
167,S52,-312.0723751,-3.890969797,1,3,,2,9,0,0,25,0,0,0,1
168,S52,22223.75072,1,1,4,6,9,6,0,0,100,0,0,0,
169,S52,-2568.296384,1,12,3,,2,1,0,0,100,,0,0,1
170,S52,-2016.015466,1,12,4,1,10,2,0,0,100,5,5,0,1
171,S52,593.7720893,2,?,3,,6,1,,0,100,0,1,0,1
172,S52,889.5428657,1,15,1,1,1,9,0,0,89.45454545,0,1,0,1
173,S52,1148.786492,1,15,1,,1,10,0,0,100,9,5,?,1
174,S52,291.0316663,2,1,3,2,6,6,0,0,100,0,0,0,1
175,S52,-262.1274616,1,1,1,,6,2,0,0,75,,0,0,
176,S52,533.4362893,1,1,4,2,1,6,,0,158.6802405,1,1,0,1
177,S52,127.8122025,1,14,2,,9,7,0,0,75,0,2,0,1
178,S52,316.6002919,1,14,2,7,1,9,0,0,75,1,2,0,1
179,S52,2791.376402,1,5,0,,1,10,3,3,100,5,1,0,2
180,S52,2960.254599,1,1,4,2,6,7,0,0,100,5,1,?,1
181,S52,-2568.296384,2,?,1,,6,9,,?,80,,1,0,1
182,S52,-1342.00166,1,12,3,10,1,6,0,0,100,1,2,0,1
183,S52,1132.385282,1,1,0,,6,10,1,3,100,1,1,0,1
184,S52,3510.419019,1,12,4,2,6,10,0,0,100,1,1,0,1
185,S52,-177501.8284,1,12,3,,2,1,0,0,75,2,1,0,1
186,S52,-209.3866262,1,14,2,7,10,2,,0,100,5,5,?,1
187,S52,-184.591132,1,1,4,,10,2,0,0,100,,5,0,
188,S52,-316.0661848,1,12,3,2,1,6,0,0,100,1,0,0,1
189,S52,848.0010638,1,12,3,,6,10,0,0,217.3604811,1,1,?,1
190,A1,500955.1734,5,1,3,10,2,1,0,4,50,0,1,0,2
191,S52,-81.60650627,1,1,0,10,6,1,0,4,50,1,1,0,2
192,S52,115998.5179,9,1,3,2,9,6,3,4,75,2,0,0,2
193,A1,164.4426629,1,14,2,1,2,7,0,0,100,2,1,0,1
194,S52,-866.2090023,1,12,2,10,10,2,0,0,50,2,5,0,1
195,S52,27369.21034,3,1,2,10,6,1,3,3,100,2,0,0,1
196,S52,889.0984873,1,1,4,9,2,10,0,0,50,0,0,0,1
